index,return
2025-06-13,-0.0008918999999997235
2025-06-16,0.008592563707571221
2025-06-17,0.017314598791496882
2025-06-18,0.008344512285531902
2025-06-20,0.0023388908392811825
2025-06-23,0.005949159203515686
2025-06-24,0.0018732068103215482
2025-06-25,0.008180771041453427
2025-06-26,0.013164581346118531
2025-06-27,0.009017035036761989
2025-06-30,0.004450503761235014
2025-07-01,0.033277575235967305
2025-07-02,0.00833038536744235
2025-07-03,0.005936421347322529
2025-07-07,-0.0022887815283360036
2025-07-08,0.0184600491467084
2025-07-09,-0.0010583013837173194
2025-07-10,0.024333590464743704
2025-07-11,0.003807959717686993
2025-07-14,0.017029060113831873
2025-07-15,0.00034677042035413663
2025-07-16,0.0035012045481872534
2025-07-17,0.007997527040130237
2025-07-18,0.0005541706766802879
