index,return
2025-06-13,-7.193999999999257e-05
2025-06-16,0.0006744705214096758
2025-06-17,-0.0013577859584003038
2025-06-18,0.0009405892001876914
2025-06-20,-0.0007316385570249606
2025-06-23,0.0020390684441711215
2025-06-24,0.0038661117486573637
2025-06-25,0.002310372232302793
2025-06-26,0.0011472042333537935
2025-06-27,0.0013260885996908556
2025-06-30,0.009605737975798778
2025-07-01,0.018388146579798148
2025-07-02,0.0016014595763267359
2025-07-03,0.012765624383801022
2025-07-07,0.018257057322411674
2025-07-08,0.003980258290685157
2025-07-09,-0.00041530451131099877
2025-07-10,-0.0019068394373498165
2025-07-11,0.0005726141022699416
2025-07-14,-0.0006849380650468806
2025-07-15,0.00289526034475851
2025-07-16,0.001453960726830017
2025-07-17,0.0006728502540955805
2025-07-18,0.001367437346384559
